    time    temp    dens
   1.13184015428467E+00   5.68133684921279E-01   2.72495700683451E+02
     nin     zin       y       x
  1    0     3.46211146561477E-06   3.46211146561477E-06
  0    1     7.91067725321556E-12   7.91067725321556E-12
  1    1     5.91782173890782E-12   1.18356434778156E-11
  2    1     2.55231807309269E-09   7.65695421927807E-09
  1    2     6.91031377257806E-20   2.07309413177342E-19
  2    2     2.69340988875910E-04   1.07736395550364E-03
  4    2     1.00080928153878E-07   6.00485568923265E-07
  3    3     3.58766765643550E-13   2.15260059386130E-12
  4    3     3.89424844294516E-10   2.72597391006162E-09
  5    3     1.50084110349491E-12   1.20067288279593E-11
  6    3     1.56156548581970E-06   1.40540893723773E-05
  3    4     2.86896472190280E-21   2.00827530533196E-20
  5    4     7.39518738004434E-08   6.65566864203990E-07
  6    4     7.58198523934147E-07   7.58198523934147E-06
  7    4     5.82107149142189E-15   6.40317864056407E-14
  8    4     1.71577485539634E-09   2.05892982647561E-08
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     5.85984143126128E-19   5.85984143126128E-18
  6    5     4.95157270244257E-10   5.44672997268682E-09
  7    5     1.90236490026170E-09   2.28283788031404E-08
  8    5     2.97327500848490E-09   3.86525751103037E-08
  9    5     1.91513959523996E-13   2.68119543333595E-12
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     1.97189897472202E-08   2.36627876966642E-07
  7    6     7.20640928452394E-09   9.36833206988112E-08
  8    6     7.22595539940756E-09   1.01163375591706E-07
  9    6     1.79460718681222E-10   2.69191078021832E-09
 10    6     7.21456170488786E-06   1.15432987278206E-04
 11    6     1.17832662215274E-11   2.00315525765966E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.78594306183841E-20   2.32172598038994E-19
  7    7     1.06243761683583E-13   1.48741266357016E-12
  8    7     2.13538668930743E-07   3.20308003396115E-06
  9    7     4.03081346686628E-08   6.44930154698606E-07
 10    7     3.61088251008696E-08   6.13850026714783E-07
 11    7     1.98138594059261E-08   3.56649469306670E-07
 12    7     3.69924381546646E-09   7.02856324938628E-08
 13    7     1.37336986934015E-06   2.74673973868030E-05
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     2.02485539645690E-10   3.23976863433104E-09
  9    8     2.61663174711256E-12   4.44827397009134E-11
