    time    temp    dens
   8.77684974664396E+00   7.68877397179980E-02   5.84384859790838E-01
     nin     zin       y       x
  1    0     2.07459477606136E-10   2.07459477606136E-10
  0    1     1.48543527147307E-12   1.48543527147307E-12
  1    1     2.81246286433259E-16   5.62492572866518E-16
  2    1     2.41909198329928E-08   7.25727594989785E-08
  1    2     8.88046659645070E-16   2.66413997893521E-15
  2    2     2.68975823398605E-04   1.07590329359442E-03
  4    2     1.43667740166457E-10   8.62006440998740E-10
  3    3     1.79641990968969E-08   1.07785194581382E-07
  4    3     2.74830177609053E-09   1.92381124326337E-08
  5    3     9.37815765885221E-15   7.50252612708177E-14
  6    3     9.46724213275848E-13   8.52051791948263E-12
  3    4     5.04781499439629E-20   3.53347049607740E-19
  5    4     1.14965328218653E-06   1.03468795396787E-05
  6    4     7.61595297884277E-07   7.61595297884277E-06
  7    4     1.52934908697084E-12   1.68228399566792E-11
  8    4     2.07042272626557E-21   2.48450727151868E-20
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.02853528568931E-14   1.02853528568931E-13
  6    5     2.30413977799021E-08   2.53455375578924E-07
  7    5     5.68856967641250E-16   6.82628361169500E-15
  8    5     2.84609696374959E-24   3.69992605287447E-23
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     4.77249675513351E-07   5.72699610616021E-06
  7    6     1.65671882902191E-08   2.15373447772848E-07
  8    6     1.17665058977286E-08   1.64731082568201E-07
  9    6     6.72380607337156E-12   1.00857091100573E-10
 10    6     6.48613008014468E-09   1.03778081282315E-07
 11    6     1.02233262528328E-17   1.73796546298157E-16
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     5.27499671301769E-20   6.85749572692300E-19
  7    7     1.87012223133987E-11   2.61817112387581E-10
  8    7     7.33552098760613E-06   1.10032814814092E-04
  9    7     6.39402112596548E-08   1.02304338015448E-06
 10    7     1.03064414541297E-08   1.75209504720204E-07
 11    7     4.32884672059504E-12   7.79192409707107E-11
 12    7     7.72240442308174E-16   1.46725684038553E-14
 13    7     1.54075468415895E-22   3.08150936831790E-21
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.76935572049246E-24   2.65403358073869E-23
  8    8     8.70332074372902E-08   1.39253131899664E-06
  9    8     2.37972849448668E-09   4.04553844062735E-08
 10    8     1.81472333243805E-08   3.26650199838849E-07
 11    8     4.72984259940246E-07   8.98670093886468E-06
 12    8     7.23222501173302E-07   1.44644500234660E-05
 13    8     4.96078935852620E-08   1.04176576529050E-06
 14    8     8.14746708807197E-07   1.79244275937583E-05
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     3.32283102732603E-24   5.64881274645426E-23
  9    9     1.84973212641781E-23   3.32951782755207E-22
 10    9     9.87226123617908E-08   1.87572963487402E-06
 11    9     2.64196735199170E-07   5.28393470398340E-06
